Custom Airfoil (Example)
  1.000000    0.000000
  0.990943    0.014406
  0.964206    0.028256
  0.921054    0.041027
  0.863499    0.052260
  0.794148    0.061584
  0.716026    0.068736
  0.632366    0.073568
  0.546407    0.076047
  0.461197    0.076248
  0.379425    0.074336
  0.303310    0.070545
  0.234527    0.065153
  0.174196    0.058457
  0.122922    0.050747
  0.080876    0.042289
  0.047912    0.033309
  0.023696    0.023988
  0.007836    0.014463
  0.000000    0.004832
  0.000000   -0.004832
  0.007836   -0.014463
  0.023696   -0.023988
  0.047912   -0.033309
  0.080876   -0.042289
  0.122922   -0.050747
  0.174196   -0.058457
  0.234527   -0.065153
  0.303310   -0.070545
  0.379425   -0.074336
  0.461197   -0.076248
  0.546407   -0.076047
  0.632366   -0.073568
  0.716026   -0.068736
  0.794148   -0.061584
  0.863499   -0.052260
  0.921054   -0.041027
  0.964206   -0.028256
  0.990943   -0.014406
  1.000000   -0.000000
